* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 4128 
v 0.222222 0.144601 0.333333
v 0.222222 0.222222 0.437144
v 0.149556 0.222222 0.333333
v 0.222222 0.209237 0.444444
v 0.222222 0.111111 0.383119
v 0.146224 0.111111 0.444444
v 0.111111 0.222222 0.355225
v 0.218713 0.222222 0.444444
v 0.111111 0.122471 0.444444
v 0.111111 0.122471 0.444444
v 0.182514 0.222222 0.555556
v 0.111111 0.173719 0.555556
v 0.111111 0.122471 0.444444
v 0.218713 0.222222 0.444444
v 0.182514 0.222222 0.555556
v 0.222222 0.209237 0.444444
v 0.146224 0.111111 0.444444
v 0.222222 0.111111 0.485318
v 0.111111 0.173719 0.555556
v 0.182514 0.222222 0.555556
v 0.111111 0.222222 0.621382
v 0.215341 0.111111 1
v 0.222222 0.118217 1
v 0.222222 0.111111 0.989975
v 0.111111 0.333333 0.0981313
v 0.222222 0.266663 0.111111
v 0.163823 0.333333 0.111111
v 0.111111 0.256737 0
v 0.222222 0.266663 0.111111
v 0.111111 0.333333 0.0981313
v 0.111111 0.256737 0
v 0.222222 0.222222 0.094646
v 0.222222 0.266663 0.111111
v 0.111111 0.256737 0
v 0.160581 0.222222 0
v 0.222222 0.222222 0.094646
v 0.163823 0.333333 0.111111
v 0.111111 0.283997 0.222222
v 0.111111 0.333333 0.141925
v 0.222222 0.266663 0.111111
v 0.111111 0.283997 0.222222
v 0.163823 0.333333 0.111111
v 0.222222 0.266663 0.111111
v 0.185845 0.222222 0.222222
v 0.111111 0.283997 0.222222
v 0.222222 0.266663 0.111111
v 0.222222 0.222222 0.146377
v 0.185845 0.222222 0.222222
v 0.185845 0.222222 0.222222
v 0.149556 0.222222 0.333333
v 0.111111 0.298717 0.333333
v 0.111111 0.283997 0.222222
v 0.185845 0.222222 0.222222
v 0.111111 0.298717 0.333333
v 0.218713 0.222222 0.444444
v 0.111111 0.222222 0.355225
v 0.111111 0.281543 0.444444
v 0.149556 0.222222 0.333333
v 0.222222 0.222222 0.437144
v 0.111111 0.298717 0.333333
v 0.222222 0.222222 0.437144
v 0.111111 0.333333 0.34587
v 0.111111 0.298717 0.333333
v 0.222222 0.222222 0.437144
v 0.222222 0.333333 0.380421
v 0.111111 0.333333 0.34587
v 0.111111 0.281543 0.444444
v 0.111111 0.333333 0.488562
v 0.222222 0.333333 0.448627
v 0.111111 0.281543 0.444444
v 0.222222 0.333333 0.448627
v 0.182513 0.222222 0.555556
v 0.111111 0.281543 0.444444
v 0.182513 0.222222 0.555556
v 0.218713 0.222222 0.444444
v 0.222222 0.252386 0.555556
v 0.182513 0.222222 0.555556
v 0.222222 0.333333 0.448627
v 0.111111 0.222222 0.621382
v 0.182513 0.222222 0.555556
v 0.222222 0.252386 0.555556
v 0.111111 0.222222 0.621382
v 0.222222 0.252386 0.555556
v 0.111111 0.238431 0.666667
v 0.111111 0.238431 0.666667
v 0.222222 0.252386 0.555556
v 0.222222 0.255379 0.666667
v 0.111111 0.238431 0.666667
v 0.222222 0.255379 0.666667
v 0.111111 0.292106 0.777778
v 0.222222 0.255379 0.666667
v 0.222222 0.319585 0.777778
v 0.111111 0.292106 0.777778
v 0.222222 0.319585 0.777778
v 0.111111 0.333333 0.824023
v 0.111111 0.292106 0.777778
v 0.222222 0.333333 0.787692
v 0.111111 0.333333 0.824023
v 0.222222 0.319585 0.777778
v 0.202762 0.444444 0.111111
v 0.111111 0.35028 0.111111
v 0.111111 0.333333 0.0981313
v 0.202762 0.444444 0.111111
v 0.111111 0.333333 0.0981313
v 0.222222 0.444444 0.0907621
v 0.163823 0.333333 0.111111
v 0.222222 0.387141 0.111111
v 0.111111 0.333333 0.0981313
v 0.222222 0.387141 0.111111
v 0.222222 0.444444 0.0907621
v 0.111111 0.333333 0.0981313
v 0.222222 0.387141 0.111111
v 0.163823 0.333333 0.111111
v 0.111111 0.333333 0.141925
v 0.222222 0.387141 0.111111
v 0.111111 0.333333 0.141925
v 0.222222 0.444444 0.167822
v 0.111111 0.35028 0.111111
v 0.202762 0.444444 0.111111
v 0.111111 0.333333 0.141925
v 0.202762 0.444444 0.111111
v 0.222222 0.444444 0.167822
v 0.111111 0.333333 0.141925
v 0.222222 0.444444 0.286155
v 0.111111 0.444444 0.331266
v 0.111111 0.428945 0.333333
v 0.222222 0.341843 0.333333
v 0.222222 0.444444 0.286155
v 0.111111 0.428945 0.333333
v 0.111111 0.428945 0.333333
v 0.222222 0.333333 0.380421
v 0.222222 0.341843 0.333333
v 0.111111 0.333333 0.34587
v 0.222222 0.333333 0.380421
v 0.111111 0.428945 0.333333
v 0.111111 0.333333 0.488562
v 0.222222 0.387828 0.555556
v 0.222222 0.333333 0.448627
v 0.111111 0.411364 0.555556
v 0.222222 0.387828 0.555556
v 0.111111 0.333333 0.488562
v 0.111111 0.444444 0.581392
v 0.164448 0.444444 0.666667
v 0.222222 0.382932 0.666667
v 0.111111 0.444444 0.581392
v 0.222222 0.382932 0.666667
v 0.111111 0.411364 0.555556
v 0.111111 0.411364 0.555556
v 0.222222 0.382932 0.666667
v 0.222222 0.387828 0.555556
v 0.222222 0.382932 0.666667
v 0.164448 0.444444 0.666667
v 0.222222 0.444444 0.726967
v 0.111111 0.333333 0.824023
v 0.222222 0.333333 0.787692
v 0.222222 0.378027 0.888889
v 0.111111 0.367496 0.888889
v 0.111111 0.333333 0.824023
v 0.222222 0.378027 0.888889
v 0.111111 0.367496 0.888889
v 0.222222 0.378027 0.888889
v 0.111111 0.423239 1
v 0.222222 0.378027 0.888889
v 0.222222 0.368975 1
v 0.111111 0.423239 1
v 0.222222 0.444444 0.0907621
v 0.222222 0.491364 0
v 0.111111 0.51498 0
v 0.222222 0.444444 0.0907621
v 0.111111 0.51498 0
v 0.172314 0.555556 0.111111
v 0.222222 0.444444 0.0907621
v 0.172314 0.555556 0.111111
v 0.202762 0.444444 0.111111
v 0.172314 0.555556 0.111111
v 0.111111 0.51498 0
v 0.111111 0.555556 0.0487747
v 0.222222 0.473108 0.222222
v 0.222222 0.444444 0.167822
v 0.202762 0.444444 0.111111
v 0.222222 0.473108 0.222222
v 0.202762 0.444444 0.111111
v 0.173748 0.555556 0.222222
v 0.173748 0.555556 0.222222
